x=0.04909460610537375   y=-0.15471554475475596
x=0.32279317195461255   y=0.07364613587762057
x=0.042487622653998275   y=0.5217584942386729
x=0.04322077644001423   y=-0.1522281145853854
x=0.3199664665571412   y=0.07108447007850287
x=0.04395922933542699   y=0.5228054561161328
x=0.05015578924918082   y=-0.14414843826618332
x=0.3250527567425368   y=0.08239227472491355
x=0.05095565631705255   y=0.5349234901082685
x=0.05305947197264473   y=-0.15003521753637666
x=0.3233115132515475   y=0.0767269936495943
x=0.06320985254974823   y=0.561440009684385
x=0.06443995436828094   y=-0.15042970613566936
x=0.8956529676209054   y=0.07345893722137682
x=0.05924307401654994   y=1.0876239329108452
x=0.06238485088540855   y=-0.17436469828559367
x=0.9930408958643083   y=0.07407816844994553
x=0.0611221797581103   y=1.3260411045321472
x=0.07429307649436967   y=-0.29787444693961074
x=1.022012600532944   y=0.07767817403291688
x=0.054472639508593025   y=1.3838823169433005
x=0.08707959194844933   y=-0.5967634300406157
x=1.0649051549528326   y=0.08944067869820146
x=0.04275175245201239   y=1.397145891314675
x=0.07691535145154671   y=-0.8372315533880564
x=1.061668362622988   y=0.10184255448394001
x=0.036689687629546275   y=1.3924517885929468
x=0.08400120297569542   y=-0.7404062373106477
x=1.0675224818897353   y=0.10341333208284126
x=0.022600535554517825   y=1.3850023770808932
x=0.07546298063312991   y=-0.7073297749051929
x=1.0809488083693624   y=0.10231230834577841
x=0.00832187841695941   y=1.3652344487229606
x=0.08080906584261269   y=-0.903773385503287
x=1.0888258165194797   y=0.09611726094466008
x=-1.937910465079722   y=-0.005093572065922841
x=0.01753349158642556   y=1.3680800334515932
x=0.06619874281562295   y=-0.9778902333156774
x=1.1056747064057977   y=0.0817629316870843
x=0.04017261080395672   y=1.3703304650621173
x=0.05291540419020435   y=-1.1805029724907552
x=1.1191873447674563   y=0.06910972318138509
x=0.024077062104160957   y=1.377138509362669
x=0.04549167151920677   y=-1.1337701407323035
x=1.1212261588825259   y=0.0744478102537561
x=0.0047671078462002865   y=1.372745295437981
x=0.035567999017709025   y=-1.1520595405324447
x=1.1202552763581137   y=0.07633190820650936
x=0.0032649109538134095   y=1.3620868576267282
x=0.042391389412419586   y=-1.245571586995222
x=1.1258966819624718   y=0.07207095437332908
x=-1.9463835148726347   y=0.0252414725303328
x=0.054142185783063304   y=1.3541310953828876
x=-0.014965286074194575   y=-1.3223343916174501
x=1.1331128208774892   y=0.03275657579515068
x=-1.9560121869479692   y=0.11495491387613027
x=0.14512805627829223   y=1.3408578490563945
x=-0.12547812604931544   y=-1.462372822535108
x=1.1147020721589609   y=-0.052572182259575426
x=0.27143532969610623   y=1.3280255568059882
x=-0.2976752505671923   y=-1.5718114448104685
x=1.107254324137922   y=-0.16629121273606043
x=-1.9249046571261148   y=0.42808848985885056
x=0.42253352543122435   y=1.332768456984107
x=-0.5021248748440823   y=-1.610228001154413
x=1.0918038053294208   y=-0.2736106619974978
x=-1.7550038779061345   y=0.6207674251338234
x=0.6002248596500891   y=1.3304397543984374
x=-0.704107574066995   y=-1.5328024444915935
x=1.0853374129153421   y=-0.4075062141549043
x=-1.1925510815803797   y=0.6295965073356322
x=0.7935095552318844   y=1.3068908443832823
x=-0.845800797455037   y=-1.3523421910833848
x=1.0868319140864084   y=-0.5605384027446716
x=-1.1291947446314006   y=0.8036188294842691
x=0.6490181191428268   y=0.8457280158932915
x=-0.9950371860722313   y=-1.1927196078459306
x=1.0989091326217435   y=-0.7717172021408955
x=-1.3825366479876826   y=1.2266403089815465
x=0.5667977029843888   y=0.6007009629770045
x=-1.2141323299105253   y=-1.1101818783036153
x=-1.0977687756796592   y=1.2887933767364592
x=0.5786791490921732   y=0.49365600240181073
x=-1.3989529516202268   y=-0.964102498638834
x=-0.8359798059697888   y=1.3078194009462842
x=0.6309787868795991   y=0.42421397825630536
x=-1.5189154179184587   y=-0.7667100026929671
x=1.0133975153063195   y=-1.6270781359886808
x=-0.6199765186790956   y=1.323445867963022
x=0.732510259969216   y=0.36340446759640144
x=0.7514852717232384   y=-1.651732814098174
x=-0.4315350836859703   y=1.3370708945444207
x=0.9216902961062265   y=0.2969003423447468
x=0.49961314609390134   y=-1.6411569626589855
x=-0.25080396473684397   y=1.3436937947743615
x=1.0593681601839933   y=0.18495627237846463
x=-1.7578783112565226   y=-0.14604583497533913
x=0.2683359433039618   y=-1.5934553390808142
x=-0.07735206964865715   y=1.3431940558678706
x=1.0506073729566214   y=0.05331427775645652
x=-1.7949994671934641   y=0.0928823344983619
x=0.04981656150190704   y=-1.5696599129267974
x=0.0884767152659778   y=1.3576060363403408
x=1.0236664053270177   y=-0.08319795277829053
x=-1.8506221373140845   y=0.33815917110206306
x=-0.1874986168802678   y=-1.5458595900166325
x=0.24175924531376347   y=1.375531243979235
x=1.0198438527319618   y=-0.20890901762498676
x=-0.4155473585986992   y=-1.6177200065128623
x=0.4172050411149776   y=1.3830125603234302
x=0.9842015162691353   y=-0.3545144848895894
x=-0.6651159286498641   y=-1.5489063177324067
x=0.583098840237247   y=1.37025539276924
x=0.9644458405552911   y=-0.5043601591891469
x=-1.2962850287912193   y=0.8175160912249125
x=-0.8362823677642081   y=-1.4100344504500826
x=0.5058169094202073   y=0.8826641452179405
x=0.9429195444733891   y=-0.6638330567689423
x=-1.1147040327580398   y=0.935418118181833
x=-0.9413939170815819   y=-1.1712499038292459
x=0.45940938009366045   y=0.6314573936185558
x=0.9529750608178165   y=-0.8731565685365253
x=-1.2692152293352241   y=1.3495101300678862
x=-1.1432275459123813   y=-1.1406829409397614
x=0.4975957325984751   y=0.4999948888221209
x=-1.0122889464127172   y=1.4090774169876763
x=-1.45157248545318   y=-1.1063392455138208
x=0.5497919383470015   y=0.43795325433169896
x=-0.7340943632201459   y=1.3991243934643978
x=-1.4387911463062502   y=-0.8234434345828643
x=0.6458959094309463   y=0.39925911237727313
x=0.8161353975253717   y=-1.7213350449972544
x=-0.49845254276504214   y=1.4042155007708164
x=0.8379056919882253   y=0.3840411974690994
x=0.5612288753301922   y=-1.6935108947262612
x=-0.29479241996499095   y=1.3867544437762525
x=0.9563797067262849   y=0.31044984794080266
x=0.33154160088266416   y=-1.6751957233861798
x=-0.11136865408531282   y=1.3746736794960788
x=-1.6925808389024772   y=-0.18229804081005313
x=0.9699078496428931   y=0.2037837285923339
x=0.09981974098599664   y=-1.6455317392751831
x=0.06597037481340928   y=1.3565360095769237
x=-1.8842926274712093   y=0.047220354648128154
x=0.9793883904866141   y=0.07887083633298192
x=-0.1146352053812362   y=-1.5907717178601237
x=0.233451943893984   y=1.346672222240041
x=0.987647166269948   y=-0.04674032112814776
x=-0.30010737825914857   y=-1.5576833641051806
x=0.38966398955574866   y=1.3535441695508383
x=1.0022567890843757   y=-0.15109593163461768
x=-0.5356041900084515   y=-1.5898505838197625
x=0.5665671716515762   y=1.3492885892790472
x=-1.648780150461528   y=0.7190149670195957
x=1.0122592740497232   y=-0.2788683092141404
x=-0.7798700390674438   y=-1.5670380758214206
x=0.7011869175373553   y=1.240681566660754
x=-1.2430574468943842   y=0.7548630681270548
x=1.0150869241912952   y=-0.4361702129865097
x=-0.9517434188475464   y=-1.3929878297555314
x=0.5381163068270084   y=0.718940590917436
x=-1.1952211090417229   y=0.9454916343684113
x=1.0169072654102391   y=-0.6146359726912048
x=-0.9882024122184205   y=-1.0862351511816208
x=0.5282847867218958   y=0.5640789852894369
x=-1.290699482293822   y=1.2813881331068235
x=1.0536488582850956   y=-0.870920607011487
x=-1.0673193875142075   y=-0.8968141937277232
x=0.5708619375541056   y=0.4815808335375572
x=-1.0065435293980043   y=1.3038176385814497
x=-1.100829287235836   y=-0.6892341973147614
x=0.6045267299047896   y=0.40374098769468525
x=-0.7696766328817044   y=1.312203632754978
x=-1.2973429733782522   y=-0.5838890618848938
x=0.6746295674703827   y=0.3480126334193366
x=-0.5465852332309028   y=1.3218296271589847
x=0.8616289433226887   y=-1.6506848198328956
x=0.7710849060473567   y=0.29574883967370474
x=-0.3681232709814457   y=1.33199803890611
x=0.6093000792959853   y=-1.6591151221609548
x=0.9857924357849236   y=0.23733023478300003
x=-0.19525251497413057   y=1.324546589315402
x=0.37308141487807495   y=-1.6617181690694864
x=-1.4376995147834182   y=-0.029417492675197485
x=1.0204421467182292   y=0.11685688535149
x=-0.03702595844074953   y=1.3200608592786827
x=0.14028081886346075   y=-1.6463959344204382
x=-1.6581295464035075   y=0.17224763751540942
x=1.0195206628790612   y=-0.012213760782323113
x=0.13653821648632952   y=1.313580208593498
x=-0.06610155199885426   y=-1.6283908019586437
x=1.0138521979742001   y=-0.14426827133369716
x=0.3000149456132861   y=1.3166676880451325
x=-0.28994026166064335   y=-1.6389194250450287
x=0.9939618222180583   y=-0.27886984893418443
x=0.47639117621260046   y=1.3053962626902402
x=-0.544881348256378   y=-1.7132900171388743
x=-1.5239306128020889   y=0.8009090667784692
x=0.9841020739431174   y=-0.4213294149311684
x=0.6463876606151533   y=1.2505659134001117
x=-0.745796209188552   y=-1.6062243631542745
x=-1.0995307327534285   y=0.7991654124616218
x=0.972599660602827   y=-0.561132654578668
x=0.5283105302235777   y=0.7529044935837256
x=-0.8461675758715905   y=-1.3389659440625243
x=-1.2668601348150723   y=1.1887861597755025
x=0.9457581722644983   y=-0.7125549387494128
x=0.4992889177417267   y=0.5610859916445811
x=-0.9984724004661549   y=-1.1817567954804828
x=-1.1046988545208678   y=1.340294763294408
x=0.9489114040808185   y=-0.9374986734887307
x=0.5103144627545686   y=0.45242972064998727
x=-1.0149749704519189   y=-0.9230283627766575
x=-0.8199548358582823   y=1.322803633526865
x=0.5280066571915341   y=0.38335281481028766
x=-1.1498573205497007   y=-0.7839719778858788
x=-0.5886275170142667   y=1.3098356603626045
x=0.5855097405057037   y=0.3464616250597595
x=-0.39445851496313705   y=1.3017284358674757
x=0.6447486766404348   y=0.2940657533887804
x=-0.22181302277184234   y=1.2945020259635223
x=0.48550710119313   y=-1.780835059067418
x=0.7822129259278253   y=0.24833564663518856
x=-1.328722803226931   y=-0.23676943344275841
x=-0.061020717805922206   y=1.2707579988486188
x=0.23520790506524106   y=-1.7253442587682855
x=1.0003357608710237   y=0.17098873746466248
x=-1.5382759940397888   y=-0.08007045602088814
x=0.058457426142769844   y=1.2533666272585657
x=0.0593290797631103   y=-1.6406130354390447
x=1.0177815344130512   y=0.07369268576562323
x=-1.921122542298387   y=0.07271884345033913
x=0.12466523403557055   y=1.2558626720777784
x=-0.03228666009383076   y=-1.6027609856424092
x=1.0172858067395723   y=0.021155355521164355
x=0.16910419099311025   y=1.2713898741893206
x=-0.07204273520799034   y=-1.6174881763686622
x=1.0317640022720016   y=-0.006739479552827915
x=0.189990369960426   y=1.2769616933093282
x=-0.09723389043891517   y=-1.6077480458825906
x=1.0253726390753959   y=-0.02216585210664615
x=0.1982821190210123   y=1.2822264968034998
x=-0.10945023703412116   y=-1.609439973919942
x=1.0320406579544934   y=-0.0303601886476942
x=0.20132875012794257   y=1.2904000217418428
x=-0.11146071386525905   y=-1.5996794634908504
x=1.03089083560868   y=-0.0315446004498401
